Population,Treatment,Sire,Dame,Bolting time (days),DW (g),Total glucosinolates (µmol/g DW),Trypsin-PI (%),Trichomes
,,,,,,,,
Desert,Methyl jasmonate,16,147,23,4.61,20.14,60.04794396,4
,,,,,,,,
Desert,Methyl jasmonate,16,148,33,2.61,12.78,44.94867151,
,,,,,,,,
Desert,Methyl jasmonate,16,148,24,3.31,17.91,51.15680616,3
,,,,,,,,
Desert,Methyl jasmonate,16,148,31,2.06,21.82,12.07160419,
,,,,,,,,
Desert,Methyl jasmonate,17,149,23,5.17,12.01,52.00228745,5
,,,,,,,,
Desert,Methyl jasmonate,17,149,24,8.22,14.71,67.99677049,3
,,,,,,,,
Desert,Methyl jasmonate,17,149,22,6.87,14.18,,5
,,,,,,,,
Desert,Methyl jasmonate,17,150,29,6.06,12.29,39.62489908,5
,,,,,,,,
Desert,Methyl jasmonate,17,150,29,5.91,10.76,81.52151178,5
,,,,,,,,
Desert,Methyl jasmonate,17,150,24,2.66,20.84,76.36782418,4
,,,,,,,,
Desert,Methyl jasmonate,17,151,33,6.17,13.32,52.67790063,3
,,,,,,,,
Desert,Methyl jasmonate,17,151,32,8.52,12.14,54.04411516,3
,,,,,,,,
Desert,Methyl jasmonate,17,151,26,4.16,9.71,58.80885122,3
,,,,,,,,
Desert,Methyl jasmonate,18,152,19,3.39,85.24,74.26307394,5
,,,,,,,,
Desert,Methyl jasmonate,18,152,29,4.39,17.44,,2
,,,,,,,,
Desert,Methyl jasmonate,18,152,24,5.51,18.46,,3
,,,,,,,,
Desert,Methyl jasmonate,18,153,36,3.78,14.55,38.44945617,
,,,,,,,,
Desert,Methyl jasmonate,18,153,33,2.88,12.42,,
,,,,,,,,
Desert,Methyl jasmonate,18,153,33,,,,
,,,,,,,,
Desert,Methyl jasmonate,18,154,31,3.35,23.45,47.60479042,3
,,,,,,,,
Desert,Methyl jasmonate,18,154,34,4.72,19,30.32198804,3
,,,,,,,,
Desert,Methyl jasmonate,18,154,24,4.68,14.14,59.6650353,3
,,,,,,,,
Desert,Methyl jasmonate,19,155,29,,26.07,51.91140382,4
,,,,,,,,
Desert,Methyl jasmonate,19,155,33,2.11,21.72,53.53918651,
,,,,,,,,
Desert,Methyl jasmonate,19,155,26,4.63,13.85,,5
,,,,,,,,
